Curso,Componente curricular,Código,Tipo,Núcleo,Número de docentes,Número de aulas semanais,Total de aulas,Abordagem Metodológica,Lab,Grupos de Conhecimentos Essenciais,Ementa,Objetivos,Conteúdo Programático,original_source_pdf,Período Educacional,Carga Horária Total
Licenciatura Em Matemática,Comunicação e Expressão,CBTCEXP,Obrigatório,Não informado,1,2,38,Teórica,Não,Conhecimentos específicos / Língua Portuguesa na prática docente.,"O componente curricular apresenta uma visão geral do fenômeno da linguagem, nas suas  expressões orais e escritas, propondo uma revisão de conceitos gerais da gramática normativa e  da escrita acadêmica. Para isso, discute problemas de gramática e produção de texto articulando  noções teóricas com exemplos reais de uso, de forma a abordar pontos importantes para o  letramento acadêmico, como concordância, coesão textual e estrutura de textos argumentativos  e acadêmicos.  LICENCIATURA EM MATEMÁTICA","1. Realizar um estudo da Língua Portuguesa, contextualizado na prática docente, englobando  a abordagem de capacidades, estratégias de leitura, interpretação, produção oral, escrita  e documentação de textos acadêmicos e científicos, reconhecendo sua importância social  e cultural;  2. Compreender a relação da leitura e da escrita com o mundo;  3. Proporcionar uma revisão dos principais aspectos e conceitos da norma gramatical em sua  modalidade culta;  4. Proporcionar ao aluno condições para refletir sobre a língua e fazer uso das normas da  língua culta, padrão, de prestígio social, quando a situação assim o exigir;  5. Expressar-se por meio da Língua Portuguesa de maneira harmônica, clara e concisa, escrita  e oralmente;  6. Aprofundar o conhecimento acerca da estruturação de textos, observando as tipologias e  multiplicidades de gêneros textuais;  7. Perceber e analisar as principais diferenças entre um texto oral e um texto escrito;  8. Saber distinguir um texto acadêmico de um texto não acadêmico;  9. Saber revisar, refletir e reelaborar os seus próprios textos.","1. Linguagem e variação;  2. Linguagem verbal e não verbal;  3. Língua oral e língua escrita;  4. Norma gramatical e variedades do português brasileiro;  5. Revisão gramatical: concordância nominal e verbal;  6. Revisão gramatical: regência nominal e verbal;  7. Revisão gramatical: acentuação e pontuação;  8. Noção de texto: textualidade, coesão e coerência;  9. Tipologia textual;  10. Gêneros textuais;  11. Texto argumentativo;  12. Gêneros acadêmicos: resumo e resenha;  13. Gêneros acadêmicos: apresentação oral e artigo;  14. Gêneros acadêmicos: relatório e monografia.  LICENCIATURA EM MATEMÁTICA",PPC_Matematica.pdf,1º Semestre,28
Licenciatura Em Matemática,Conjuntos e Funções,CBTCJFC,Obrigatório,Não informado,1,4,76,Teórica,Não,Conhecimentos específicos / Funções e Cálculo Diferencial e Integral.,"O componente Conjuntos e Funções estuda tópicos de elementares sobre conjuntos e algumas  funções elementares a partir da óptica do Ensino Médio e aprofunda conceitos e definições. O  estudo dos conjuntos parte das noções básicas, símbolos, nomenclaturas, relações, operações e  direciona-se os conjuntos numéricos e suas propriedades e alguns princípios como o da indução  finita. O processo de construção do conceito de função é feito a partir dos conceitos de grandezas,  variáveis e análise da existência de dependência entre elas. A partir de funções entre variáveis  dependentes e de seus comportamentos, conceitos como domínio, imagem, raízes, sinal e pontos  de máximo e mínimo serão aprofundados. Diferentes funções serão utilizadas para resolver  situações-problema do cotidiano ou teóricas, enfatizando-se as relações com as questões  socioambientais e com outras ciências, tais como a Física, Química, Engenharia, entre outras.  LICENCIATURA EM MATEMÁTICA  Aborda as funções constantes e polinomiais do primeiro e segundo graus, assim como funções  modulares, pares e ímpares.","1. Compreender o conceito de função como um caso particular de relação, e ampliar o estudo  de seu comportamento por meio de conceitos do Cálculo Diferencial e Integral, articulados  com outras áreas do conhecimento e com a Educação Básica;  2. Ler e interpretar diferentes linguagens e representações envolvendo variações de  grandezas;  3. Reconhecer e utilizar a linguagem algébrica nas ciências, expressar a relação entre  grandezas e modelar situações-problema, construir modelos descritivos de fenômenos,  fazendo conexões dentro e fora da Matemática;  4. Compreender função como uma relação entre duas variáveis e representar e reconhecer  graficamente essa relação;  5. Relacionar os conceitos de funções estudados no Ensino Médio entre si de modo a  aprofundar o estudo de diferentes tipos de dependência entre variáveis (afim, quadrática,  modular;  6. Fornecer ao futuro egresso competências que dêem suporte a outros componentes  curriculares, ao exercício da docência e/ou prosseguimento para carreira acadêmica.","1. Conjuntos: noções elementares, definições, propriedades e operações entre conjuntos.  2. Conjuntos numéricos: conjuntos dos números naturais, inteiros, racionais e reais.  3. Princípio da Indução Finita.  4. Função afim: propriedades, gráfico, zero da função, funções monótonas, sinal da função,  inequações.  5. Função quadrática: propriedades, gráfico, eixo de simetria, zeros, máximo e mínimo, sinal  da função, inequações.  6. Função modular: módulo de um número real, função definida por mais de uma sentença  aberta, gráfico, equações e inequações modulares.  7. Outras funções elementares: função recíproca, qualidade das funções, função inversa e  composta.  LICENCIATURA EM MATEMÁTICA",PPC_Matematica.pdf,1º Semestre,57
Licenciatura Em Matemática,Didática,CBTDIDT,Obrigatório,Não informado,1,4,76,Teórica,Não,Conhecimentos Pedagógicos / 2. Didática / 2.1 Ensino e aprendizagem;  Conhecimentos Pedagógicos / 2. Didática / 2.2 Planejamento e avaliação;  Conhecimentos Pedagógicos / 2. Didática / 2.3 Métodos e técnicas de ensino;  Conhecimentos Pedagógicos / 2. Didática / 2.4 Tecnologia e Mídias.,"Este componente curricular contribui para a formação de professores a partir da construção de  referenciais teórico-práticos que sustentam a prática docente e orientam o exercício da profissão  nos diferentes contextos e situações, conduzindo à conscientização da aula como uma atividade  intencional, planejada e pautada em determinadas concepções de homem, educação e sociedade.  Aborda as especificidades e os elementos estruturantes do trabalho docente, analisa processos e  estratégias de ensino e aprendizagem, estuda diferentes teorias e tendências pedagógicas, a  relação professor-aluno-conhecimento, a mediação pedagógica e o planejamento educacional  em seus contextos macro e micro. Discute a avaliação educacional e sua relação com o sucesso  ou fracasso do aluno, contribuindo para a formação de professores crítico-reflexivos que  compreendem o significado ético, social, político e pedagógico do papel do professor de  Matemática na escola.  LICENCIATURA EM MATEMÁTICA","1. Propiciar condições de reflexão sobre a evolução histórica do ensino e da educação, suas  diferentes abordagens no processo de ensino e suas repercussões no cotidiano da escola;  2. Compreender o ensino como prática social contextualizada;  3. Analisar a relação professor-aluno-conhecimento e sua mediação;  4. Construir referenciais teórico-metodológicos relativos à organização do trabalho  pedagógico na escola relacionados ao planejamento, à avaliação e ao acompanhamento  dos processos de aprendizagem;  5. Refletir sobre questões relacionadas à prática pedagógica no cotidiano escolar, mediadas  pela teoria;  6. Compreender as dimensões e relevância do projeto pedagógico na escola, bem como o  desenvolvimento de práticas de avaliação formativa e inclusivas.","1. Definição, história e papel da Didática na formação de professores;  2. Papel da educação, da escola, do professor e do aluno;  3. Pensamento didático: alguns autores e suas ideias;  4. Análise dos processos de ensino e aprendizagem;  5. As relações com o saber e a mediação do professor;  6. A relação pedagógica como cerne da Didática: os vínculos entre professor, aluno e  conhecimento;  7. Teorias e tendências pedagógicas e suas implicações no ensino e na aprendizagem em  diferentes contextos sócio-históricos;  8. Fundamentos e processos de aprendizagem, nos diferentes níveis e modalidades de ensino  para a compreensão da realidade;  9. Estratégias e recursos de ensino e aprendizagem;  10. A aula como objeto da Didática e como ação pedagógica para a promoção humana;  11. Planejamento educacional: reflexões teóricas, conceituais e práticas, considerando  contextos macro e micro e sua articulação com o currículo, a avaliação e o projeto político  pedagógico da escola;  12. Planejamento educacional: concepção, preparação, realização e avaliação;  13. Funções da avaliação educacional;  14. A avaliação da aprendizagem como processo contínuo e formativo;  15. Relação entre avaliação da aprendizagem e planejamento;  LICENCIATURA EM MATEMÁTICA  16. Práxis como eixo do trabalho pedagógico;  17. Cotidiano da escola como um espaço/tempo de pesquisa e formação continuada;  18. Metodologias de aprendizagem ativas e colaborativas;  19. A pesquisa e interdisciplinaridade como método pedagógico;  20. Práticas pedagógicas inclusivas;  21. Transversalidade na educação;  22. Tecnologias digitais no processo de ensino e aprendizagem;  23. Ação pedagógica mediada por recursos tecnológicos e sua relação com a equidade e  justiça social;  24. Formação docente e identidade profissional no contexto político-educacional  contemporâneo;  25. Disciplina e indisciplina: conflitos, mitos e reflexões.  LICENCIATURA EM MATEMÁTICA",PPC_Matematica.pdf,1º Semestre,57
Licenciatura Em Matemática,Educação em Direitos Humanos,CBTEDHM,Obrigatório,Não informado,1,2,38,Teórica,Não,"Conhecimentos Pedagógicos / 1. Fundamentos da Educação / 1.2 Sociologia da Educação;  Conhecimentos Pedagógicos / 1. Fundamentos da Educação / 1.3 História da Educação;  Conhecimentos Pedagógicos / 4. Política e Organização da Educação Brasileira / 4.2 Legislação;  Conhecimentos Pedagógicos / 5. Diversidade, direitos humanos e inclusão / 5.1 Educação especial;  Conhecimentos Pedagógicos / 5. Diversidade, direitos humanos e inclusão / 5.2 Educação para as  relações étnico- raciais e indígenas;  Conhecimentos Pedagógicos / 5. Diversidade, direitos humanos e inclusão / 5.3 Educação em  Direitos Humanos.","Este componente aborda questões referentes à dignidade humana, igualdade de direitos,  reconhecimento e valorização das diferenças e das diferenças, laicidade do Estado, democracia na  educação, transversalidade, vivência e globalidade e sustentabilidade socioambiental. Traz  também, em seu escopo, a importante questão voltada à valorização e reconhecimento dos  diversos grupos historicamente excluídos em nossa sociedade e o combate às diversas formas de  exclusão como misoginia, machismo, racismo, LGBTQIA+fobia, xenofobia, darwinismo social,  políticas eugênicas, intolerância religiosa, etc., atentando-se ao detalhe de que as populações  LICENCIATURA EM MATEMÁTICA  atingidas por essas formas de discriminação devem estar atreladas à lógica da equidade, quando  pensadas dentro da estrutura curricular da Educação em Direitos Humanos.","1. Refletir e contribuir para a dialógica em vários contextos: nos valores civis, políticos, éticos,  sociais, econômicos, culturais e ambientais; no processo articulado de forma transversal da  relação indissociável entre Educação e Direitos Humanos;  2. Engajar o educando para participar de forma dinâmica na construção e aplicação do  conhecimento e no enfretamento de situações críticas, propondo soluções e tendo  autonomia para superá-las;  3. Reflexão do educando a respeito da sua função social enquanto futuro docente em  Educação Matemática, observando que a construção das justiças social e curricular,  também passará pelas aulas ministradas por elas e eles no âmbito da educação básica.","1. Análise das relações de poder na escola com vistas à democracia e à inclusão social,  considerando-se o multiculturalismo, a diversidade/diferenças, os direitos humanos;  2. Análise da educação como direito e seus desdobramentos no que se refere à inclusão, à  diversidade e à democracia;  3. Análise e compreensão das diferentes matrizes do pensamento sociológico acerca da  relação homem, sociedade, educação e escola;  4. Historicidade dos processos educativos e das práticas escolares no Brasil;  5. A educação na Constituição Federal: direito de cidadania e dever do Estado na sociedade  brasileira;  6. Princípios normativos e históricos da organização da educação escolar no âmbito das  Diretrizes e Bases da Educação Nacional, tendo em vista os condicionantes  socioeconômicos e políticos e suas imbricações no campo da política pública social  educacional e da educação como direito;  7. Princípios e Políticas da Educação Inclusiva no contexto educacional e nacional;  8. Racismo, educação antirracista e os impactos nas relações escolares;  9. Marcos históricos dos Direitos Humanos, sua relação com as realidades sociais brasileiras  e seus reflexos na escola;  10. A escola como espaço de convívio das diferenças como diversidade e de produção de uma  cultura de Direitos Humanos;  11. Diversidade, democracia, direitos humanos e inclusão: gênero, sexualidade, imigração,  LICENCIATURA EM MATEMÁTICA  comunidades indígenas, questões étnico-raciais, dentre outros.",PPC_Matematica.pdf,1º Semestre,28
Licenciatura Em Matemática,Fundamentos de Geometria,CBTFGEO,Obrigatório,Não informado,1,2,38,Teórica,Não,Conhecimentos específicos / Fundamentos de Geometria e Geometria Analítica.  LICENCIATURA EM MATEMÁTICA,"O componente curricular desenvolve a compreensão dos teoremas da geometria Euclidiana por  meio da resolução de problemas geométricos. Aborda a Geometria Elementar por meio das  construções geométricas com régua e compasso com o foco na caracterização, justificativa e  validade dos procedimentos utilizados. O componente curricular aborda, no contexto das novas  tecnologias, o uso de programas de geometria dinâmica como ferramenta para demonstrações,  investigações e resolução de situações problemas.","1. Estudar elementos da geometria plana destacando, suas construções, transformações e  relações com os conceitos de grandeza e medida, presentes no currículo da Educação  Básica, possibilitando o estudo das diferentes geometrias;  2. Compreender e analisar os conceitos e técnicas de construções geométricas com régua e  compasso, para resolver problemas de geometria euclidiana plana;  3. Estudar procedimentos utilizados nas construções geométricas com régua e compasso,  questionando e justificando sua validade;  4. Desenvolver a capacidade de construção e representação de figuras geométricas;  5. Compreender e utilizar simbologia, notações e vocabulário específico da Geometria em  situações de construções geométricas e resolução de problemas;  6. Promover o desenvolvimento do raciocínio dedutivo e da habilidade de resolução de  problemas geométricos;  7. Utilizar e analisar programas computacionais adequados ao desenvolvimento do desenho  geométrico.  LICENCIATURA EM MATEMÁTICA","1. Conceitos de pontos, retas, semirretas, segmentos de reta e ângulos;  2. Proporções envolvendo retas paralelas e o Teorema de Tales;  3. Conceitos, classificação, propriedades e construção de polígonos;  4. Triângulos: classificações, construção, congruência, semelhança, Teorema de Pitágoras,  mediatrizes, cevianas, pontos notáveis;  5. Conceitos e propriedades envolvendo circunferências e arcos;  6. Áreas de regiões poligonais, de círculos e de setores;  7. Conceito de lugar geométrico e suas aplicações;  8. Noções sobre transformações geométricas: translações, reflexões e rotações;  9. Construções Fundamentais com régua e compasso: segmentos, ângulos e arcos, retas  paralelas e perpendiculares, Mediatriz, Bissetriz, Divisão de um segmento em partes iguais,  Traçado das tangentes a uma circunferência;",PPC_Matematica.pdf,1º Semestre,28
Licenciatura Em Matemática,Fundamentos de Matemática 1,CBTFMA1,Obrigatório,Não informado,1,2,38,Teórica,Não,Conhecimentos específicos / Fundamentos de Álgebra Linear;  Conhecimentos específicos / Fundamentos de Geometria e Geometria Analítica.,"Este componente curricular tem como focos a retomada e o aprofundamento dos conceitos de  equação linear, sistema linear, matrizes e determinante. Para isso, serão abordadas situações- problema em diversas áreas do conhecimento, demonstrações e investigações históricas  relacionadas ao tema.  LICENCIATURA EM MATEMÁTICA","1. Estudar sistemas lineares, utilizando matrizes e determinantes nos processos de resolução,  destacando a reflexão sobre seu ensino na Educação Básica, bem servir como  fundamentação para a compreensão dos conceitos de Espaços Vetoriais e Transformações  Lineares e suas relações com outros componentes curriculares e aplicações em outras áreas  do conhecimento;  2. Identificar a relação entre sistemas lineares com elementos da geometria plana e espacial,  na busca de uma solução;  3. Estudar, classificar e resolver sistemas lineares por meio de diferentes processos, inclusive  pelo método de Cramer e por escalonamento (método da eliminação de Gauss);  4. Representar e interpretar uma tabela de números como uma matriz, identificando seus  elementos, usos e propriedades;  5. utilizar a linguagem matricial e as operações com matrizes como instrumentos para  interpretar dados;  6. Calcular o determinante de matrizes e utilizá-lo para a resolução e discussão de sistemas  lineares.","1. Sistemas lineares: métodos de resolução (escalonamento, Gauss) e discussão;  2. Matrizes: definição, álgebra matricial, matrizes especiais, matrizes simétricas e ortogonais,  matriz transposta, operações com matrizes, matrizes invertíveis, cálculo de matriz inversa;  3. Determinantes: definição, propriedades, cálculo de determinantes (regra de Sarrus,  Teorema de Laplace e regra de Chió); determinantes e análise de sistemas; aplicações a  resoluções de sistemas lineares (regra de Cramer).",PPC_Matematica.pdf,1º Semestre,28
Licenciatura Em Matemática,Matemática Discreta,CBTMDIS,Obrigatório,Não informado,1,4,76,Teórica,Não,"Conhecimentos específicos / Contagem, estatística e probabilidade.","O componente curricular aborda a lógica formal de modo a fornecer ao aluno o entendimento do  raciocínio matemático adequado que o prepare para lidar com teorias mais abstratas, com  demonstrações formais em matemática e com a lógica de programação. Além disso, este  componente aborda tópicos elementares de matemática discreta, como combinatória,  probabilidade discreta e grafos.","1. Estudar diferentes procedimentos para a contagem de elementos selecionados de um  conjunto, dos modelos estatísticos e dos conceitos de probabilidade em diversos  contextos;  2. Prover o estudante de ferramentas de lógica e de estratégias de alguns tipos de  demonstrações matemáticas formais usuais;  3. Fornecer conceitos da lógica formal, ampliando o raciocínio lógico-matemático e  preparando para o estudo da lógica computacional;  LICENCIATURA EM MATEMÁTICA  4. Apresentar conceitos e propriedades elementares de análise combinatória;  5. Conhecer aspectos básicos da teoria de grafos e seus principais problemas e soluções.","1. Lógica formal: proposições lógicas, representações simbólicas, tabelas-verdade,  tautologias, quantificadores, predicados, lógica proposicional, lógica de predicados;  2. Técnicas de demonstração de teoremas (direta, por contraposição, por exaustão, por  contradição, contraexemplos);  3. Fatorial, coeficiente binomial e suas propriedades, triângulo de Pascal, binômio de Newton  e o Teorema Binomial;  4. Análise combinatória: princípios fundamentais de contagem (aditivo e multiplicativo),  permutações simples, permutações com repetição, combinações simples, combinações  com repetição, permutações circulares;  5. Princípio da Casa dos Pombos;  6. Grafos: definições, terminologias e propriedades de grafos e árvores, grafos bipartidos,  grafos direcionados, grafos ponderados, matriz de adjacências de um grafo, isomorfismos  de grafos, grafos planares, fórmula de Euler e suas consequências, caminhos eulerianos,  ciclos hamiltonianos, caminho mínimo, árvore geradora mínima, coloração de grafos.",PPC_Matematica.pdf,1º Semestre,57
Licenciatura Em Matemática,Metodologia de Pesquisa,CBTMTPE,Obrigatório,Não informado,1,2,38,Teórica,Não,Conhecimentos Específicos / Língua Portuguesa na prática docente;  Conhecimentos Pedagógicos / 1. Fundamentos da Educação / 1.2 Sociologia da Educação;  Conhecimentos Pedagógicos / 2. Didática / 2.3 Métodos e técnicas de ensino.,"Este componente aborda a conceituação do termo pesquisa e suas implicações sociais. Estuda os  elementos constitutivos da pesquisa científica, a linguagem específica e argumentação de textos  técnico-científicos, assim como discute as principais abordagens metodológicas da pesquisa na  área de educação e educação matemática. Estuda a maneira pela qual a pesquisa científica pode  contribuir para o aprimoramento da prática docente e para a superação de problemáticas  educacionais, sociais, ambientais e para o desenvolvimento científico e tecnológico.  LICENCIATURA EM MATEMÁTICA","1. Compreender o conceito de pesquisa científica, suas etapas e seus elementos constitutivos  principais;  2. Caracterizar e diferenciar abordagens metodológicas de pesquisa;  3. Compreender as características teóricas, epistemológicas e metodológicas de pesquisas  acadêmicas, em particular no campo da educação e da educação matemática;  4. Conhecer e aplicar as normas técnicas de elaboração de textos acadêmicos e científicos;  5. Realizar um estudo da Língua Portuguesa, contextualizado na prática docente, englobando  a abordagem de capacidades, estratégias de leitura, interpretação, produção oral, escrita  e documentação de textos acadêmicos e científicos, reconhecendo sua importância social  e cultural;  6. Conhecer e produzir textos acadêmicos científicos, tais como: fichamento, resumo,  resenha, artigo etc;  7. Conhecer e compreender os impactos da pesquisa na vida em sociedade e no meio  ambiente.","1. Pesquisa: conceitos básicos; tipos, modelos básicos e paradigmas;  2. Diferentes matrizes do pensamento filosófico e sociológico acerca da relação homem,  sociedade, educação e escola presentes na pesquisa científica em educação e educação  matemática;  3. Pesquisa como método pedagógico;  4. Textos técnico-científicos: gênero acadêmico; fichamento; resumo; resenha; artigo  científico; relatório;  5. Estrutura de um projeto de pesquisa;  6. Normas técnicas para a elaboração de trabalhos científicos;  7. Estudos introdutórios sobre metodologias de pesquisas na educação e educação  matemática: pesquisas descritivas e de intervenção; estudo de caso; análise de conteúdo;  pesquisa experimental; pesquisa-ação;  8. Relação entre pesquisa e desenvolvimento tecnológico;  9. Relação entre ensino, pesquisa e extensão;  10. Relação entre pesquisa, educação, sociedade e meio ambiente;  11. Relação entre pesquisa, educação e inclusão social.  LICENCIATURA EM MATEMÁTICA",PPC_Matematica.pdf,1º Semestre,28
Licenciatura Em Matemática,Resolução de Problemas nas aulas de Matemática,CBTRPAM,Obrigatório,Não informado,1,4,76,Teórica e Prática,Não,Conhecimentos específicos / Metodologias de ensino;  Conhecimentos específicos / Tendências em Educação Matemática;  Conhecimentos pedagógicos / Didática / 2.1.Ensino e aprendizagem;  Conhecimentos pedagógicos / Didática / 2.3.Métodos e técnicas de ensino.,"O componente curricular aborda diferentes concepções e tendências em relação à Resolução de  Problemas nas aulas de matemática contextualizadas histórico e socialmente, bem como na sua  relação com o processo de ensino e aprendizagem de matemática. Este componente curricular  estuda diferentes abordagens de resolução de problemas no ensino de matemática e desenvolve  temas como situações problema, problematização, comunicação, letramento matemático e o  estudo da concepção da Resolução de Problemas nos documentos oficiais da Educação Brasileira.  Características e aspectos de textos de problemas matemáticos são trabalhados a fim de refletir  sobre possíveis ações didáticas para ensinar o estudante a ler, interpretar e elaborar problemas  em diversos contextos usando vocabulários e termos específicos da área do conhecimento. A  Prática como Componente Curricular (PCC) se dará pela análise, reflexão e proposição de ações  LICENCIATURA EM MATEMÁTICA  didáticas vivenciadas no decorrer do componente curricular.","1. Compreender e experimentar diferentes metodologias de ensino de números, geometria,  grandezas e medidas, álgebra, probabilidade e estatística;  2. Conhecer as tendências em educação matemática destacando aspectos pedagógicos que  envolvem o ensino de resolução de problemas nas aulas de matemática;  3. Compreender o papel da Resolução de Problemas nas aulas de Matemática  contextualizada dentro do processo social e histórico;  4. Refletir sobre a relação da Resolução de Problemas e o processo de ensino e aprendizagem  de Matemática;  5. Refletir sobre a relação entre a Resolução de Problemas e o desenvolvimento da  comunicação nas aulas de Matemática e do Letramento Matemático;  6. Refletir sobre práticas de ensino que permitem que o estudante se desenvolva na leitura,  interpretação, formulação e resolução de problemas;  7. Conhecer a abordagem de Resolução de Problemas nos documentos oficiais brasileiros da  Educação.","1. Concepções e abordagens para o trabalho com Resolução de Problemas nas aulas de  matemática;  2. Perspectiva sociocultural do ensino de matemática nas práticas escolares relacionadas ao  ensino de Resolução de Problemas em diferentes contextos sociais;  3. Tendências do Ensino de Matemática e suas relações com Resolução de Problemas nas  aulas de Matemática;  4. Características e definições de problemas e situações problema;  5. A proposição de diferentes tipos de problemas e situações problema nas aulas de  matemática;  6. Problematização como metodologia de ensino;  7. Leitura, interpretação e formulação de problemas matemáticos;  8. Resolução de problemas e comunicação;  9. Letramento matemático;  10. A concepção de resolução de problema nos documentos oficiais da Educação do Brasil.  LICENCIATURA EM MATEMÁTICA",PPC_Matematica.pdf,1º Semestre,57
Licenciatura Em Matemática,Cultura e Educação Matemática,CBTCEDM,Obrigatório,Não informado,1,2,38,Teórica,Não,"Conhecimentos Específicos / Educação das relações étnico- raciais e ensino de matemática na  Educação Básica;  Conhecimentos Específicos / Educação em direitos humanos e educação ambiental no ensino de  matemática na Educação Básica;  Conhecimentos Pedagógicos / 1. Fundamentos da Educação / 1.2 Sociologia da Educação;  Conhecimentos Pedagógicos / 1. Fundamentos da Educação / 1.3 História da Educação;  Conhecimentos Pedagógicos / 2. Didática / 2.2 Planejamento e avaliação;  Conhecimentos Pedagógicos / 2. Didática / 2.3 Métodos e técnicas de ensino;  Conhecimentos Pedagógicos / 4. Política e Organização da Educação Brasileira / 4.2 Legislação;  Conhecimentos Pedagógicos / 5. Diversidade, direitos humanos e inclusão / 5.2 Educação para as  relações étnico- raciais e indígenas;  Conhecimentos Pedagógicos / 5. Diversidade, direitos humanos e inclusão / 5.3 Educação em  Direitos Humanos.  LICENCIATURA EM MATEMÁTICA","Este componente aborda as concepções de cultura e educação recorrendo ao diálogo entre  antropologia, história, filosofia, sociologia e pedagogia, procurando explicitar o modo como tais  concepções influenciam a prática pedagógica. Destaca a importância da cultura africana e  indígena para a formação cultura brasileira. Visa introduzir o conceito de etnomatemática e  ampliar as discussões sobre o papel da escola na construção de uma sociedade que respeite o  meio ambiente, os direitos humanos e as diferenças políticas, sociais, étnico-raciais, de crença, de  gênero, de orientação sexual, entre outras.","1. Conhecer sobre história e cultura africana e indígena, sua presença na formação do povo  brasileiro e suas implicações para a educação das relações étnico-raciais e para o ensino  de matemática na Educação Básica, observando os seus processos próprios de ensino e  aprendizagem, a fim os legitimar como processos também utilizados no cotidiano  pedagógico;  2. Conhecer sobre educação em direitos humanos e educação ambiental, seu papel na  consolidação de uma sociedade mais justa para todos os seres vivos, bem como estudar  propostas e metodologias para sua utilização no ensino de matemática na Educação  Básica;  3. Apresentar e discutir diferentes concepções de cultura;  4. Compreender o papel da cultura africana e indígena na formação da cultura brasileira;  5. Refletir sobre as opções do trabalho pedagógico quando se leva em consideração os  “saberes” dos alunos, suas concepções, conhecimentos e linguagem;  6. Analisar criticamente a etnomatemática como procedimento metodológico para viabilizar  a prática pedagógica numa perspectiva cultural;  7. Examinar criticamente o atual paradigma educacional, o qual visa o respeito às diferenças,  buscando alternativas de ação no que se refere ao planejamento, ao currículo, à avaliação,  ao enfoque transdisciplinar e às novas tecnologias.","1. Estudo das diferentes concepções de cultura e desmembramento do conceito, observando  o reconhecimento das mesmas de forma desierarquizada dentro da Educação Matemática;  2. O papel da cultura na constituição do cotidiano escolar;  3. Análise das relações de poder na escola com vistas à democracia e à inclusão social,  considerando-se o multiculturalismo, a diversidade/diferenças, os direitos humanos;  LICENCIATURA EM MATEMÁTICA  4. Análise da educação como direito e seus desdobramentos no que se refere à inclusão, à  diversidade e à democracia;  5. Análise histórica da construção do conhecimento humano e do papel da escola nos  processos de formação humana;  6. A avaliação da aprendizagem como processo contínuo e formativo;  7. Avaliação da aprendizagem, institucional e em larga escala;  8. Práticas pedagógicas inclusivas;  9. Aspectos legais sobre proteção da criança e do adolescente e o papel da escola e da família  nesse processo a partir do estudo do Estatuto da Criança e do Adolescente;  10. As lutas históricas dos negros e dos povos indígenas no Brasil;  11. Culturas afro-brasileiras e indígenas e suas respectivas produções culturais;  12. Políticas de Ações Afirmativas e Educação;  13. Educação Quilombola e Indígena;  14. O papel da Educação escolar na proteção e promoção das diversas expressões culturais;  15. Diferenças, democracia, direitos humanos e inclusão: gênero, sexualidade, imigração,  comunidades indígenas, questões étnico-raciais, religiosidade, dentre outros;1  16. Formação e prática docente para atender às políticas de reconhecimento às diferenças na  escola;  17. A importância dos fatores culturais no processo de ensino e aprendizagem da Educação  Matemática na educação básica;  18. O papel da educação ambiental na consolidação de uma sociedade mais justa para todos  os seres vivos.",PPC_Matematica.pdf,2º Semestre,28
